perimeter;area;circularity
252,66;9401,5;1,85069
254,472;1597;0,309911
222,974;6105,5;1,54321
236,579;20957;4,70527
246,046;15195;3,15412
247,412;16829;3,45484
243,14;16168;3,43678
260,396;28005,5;5,19022
226,052;17462;4,29426
237,593;11310,5;2,51781
242,788;13501,5;2,87832
237,55;19747;4,39746
232,027;12727;2,9707
273,99;22647;3,79097
225,347;20011,5;4,95205
241,488;16903;3,64235
230,323;5734;1,35829
251,364;8991,5;1,78828
178,939;3475,5;1,364
213,032;1853;0,513093
242,428;17332;3,70591
142,844;9216,5;5,67616
244,187;19123;4,03014
230,77;28902,5;6,82005
219,482;7951,5;2,07425
234,792;16399,5;3,73831
229,928;2369,5;0,563228
224,31;12229,5;3,05436
225,296;5775;1,42974
234,94;8427,5;1,91865
258,085;19403;3,6606
150,582;12134;6,72463
238,971;5121,5;1,12698
232,845;4815,5;1,11614
261,778;29462;5,40265
228,518;5892;1,41785
248,709;5760,5;1,17027
264,43;6171;1,10903
249,654;12907;2,6023
222,47;5847;1,48457
251,542;7609;1,51119
246,367;7718;1,5979
252,943;7496,5;1,47239
229,391;2974;0,71023
237,247;249;0,0555913
253,872;9168;1,78754
249,327;746,5;0,150904
282,606;4149;0,652816
213,859;6316,5;1,73552
240,147;6239,5;1,35958
223,461;11208;2,82056
248,46;3622;0,737304
237,061;7381;1,65047
244,24;9495,5;2,00029
247,111;6717;1,3823
253,392;10106;1,97789
240,292;5774,5;1,25674
280,175;11491,5;1,83962
240,734;14754,5;3,19932
250,169;2737;0,549563
248,679;14107;2,86658
261,071;20723;3,82072
125,628;1837;1,46267
166,157;3296;1,50023
250,688;11905,5;2,38063
247,225;12482,5;2,56641
207,653;1949;0,567996
228,232;1026,5;0,247636
244,861;4888;1,02447
247,369;13625,5;2,79816
249,348;13487;2,72592
224,289;3618;0,903776
224,639;190;0,0473145
247,622;6082;1,24646
228,641;7189,5;1,72822
215,863;3386,5;0,913281
221,987;5679;1,44819
222,355;7359;1,87039
232,405;2443,5;0,5685
227,866;8005;1,93737
243,399;5388;1,14288
236,124;10949,5;2,46788
223,164;4948;1,24851
225,749;2850;0,702756
230,408;5334,5;1,26272
174,849;6998,5;2,87665
258,312;1034;0,194733
233,563;4381;1,0092
129,1;2012;1,51701
254,85;8284,5;1,6029
246,198;8380,5;1,73744
242,495;38,5;0,00822745
206,237;1814,5;0,536083
204,999;4305,5;1,28744
232,855;7912,5;1,83381
238,758;7356;1,62157
292,126;3619;0,532917
245,769;18175,5;3,7813
240,223;4859;1,0581
238,914;3875,5;0,853206
243,001;8351;1,77719
223,348;3475;0,875388
254,309;985,5;0,191488
221,824;5748;1,46795
159,694;15856,5;7,81341
245,258;4858;1,01489
212,717;9819,5;2,72706
238,322;5516,5;1,22052
242,51;5809,5;1,24134
270,716;1265;0,216906
148,397;21099,5;12,0402
194,798;2670,5;0,884371
